ID,Section,Claim,Figure as used in pieces,Primary source,Source type,Provenance tier,Verification status (this session),Audit note,Action needed
E1,I. Economy,India is fastest-growing major economy; real GDP ~6.4-7.6% FY24-26,~7% GDP growth,IBEF / Economic Survey / MoSPI,Govt aggregator + primary,1,PARTIAL,IBEF is an industry body citing MoSPI/Economic Survey; the headline growth figure is uncontroversial and cross-confirmed by RBI. Not re-fetched to raw MoSPI table this session.,No
E2,I. Economy,Real rural wages grew ~7%/yr (2010-16) then collapsed to ~0-1%/yr,~1%/yr real wage growth,"Das & Dreze, Labour Bureau 'Wage Rates in Rural India'",Academic (primary data series),1,NOT RE-VERIFIED TO PRIMARY,Used via Countercurrents secondary. The Labour Bureau series is real & public; the Das-Dreze computation should be traced to their original paper/column before terminal citation. Directionally consistent across multiple economists.,TRACE TO PRIMARY
E3,I. Economy,"Corporate profit +22.3% vs employment +1.5% (FY24); profit-to-GDP 4.8% (Nifty 500), highest since FY08",+22.3% vs +1.5%,SBI Research / Nifty 500 analysis,Private-sector research,2,NOT RE-VERIFIED,SBI Research has analytical credibility but is not independent-academic. Reported via The Federal. Trace to the SBI report itself; treat as 'per SBI Research' not fact.,ATTRIBUTE EXPLICITLY
E4,I. Economy,K-shaped recovery; widening income/wealth inequality,K-shaped,CEDA (Ashoka Univ) + World Inequality Report 2026,Academic + independent,1,VERIFIED (institutional),"CEDA and WIR are credible independent sources. Framing claim, not a single disputed number.",No
E5,I. Economy,Jobless growth predates 2014; employment elasticity falling since 1991 liberalisation,caveat,PLFS / Economic Survey / economic literature,Primary + academic,1,VERIFIED (consensus),"Well-established in the literature; used as an honesty caveat, not a headline stat.",No
ED1,II. Education,23.4% of Class 3 can read a Class 2 text (ASER 2024),23.4% (used as ALL children),"ASER 2024 National Findings PDF, asercentre.org",Independent survey (primary),1,VERIFIED - ERROR FOUND,"*** MATERIAL CORRECTION *** Primary PDF states 23.4% is GOVERNMENT-SCHOOL Std III specifically, NOT all children. All-India (all schools) Std III reading recovered to ~27.1% (Ideas for India). Pieces present 23.4% as the all-children national figure. MUST FIX.",CORRECT: specify 'government-school' OR use 27.1% all-India
ED2,II. Education,33.7% of Class 3 can do subtraction; 44.8% Class 5 read; 30.7% Class 5 divide,33.7 / 44.8 / 30.7,ASER 2024 National Findings PDF,Independent survey (primary),1,VERIFIED - NUANCE,33.7% subtraction is ALL-INDIA (confirmed in PDF). 44.8% Class-5 reading and 30.7% Class-5 division are GOVERNMENT-SCHOOL figures per PDF. Mixed all-India vs govt-school; must label each consistently.,LABEL SCHOOL-TYPE PER FIGURE
ED3,II. Education,'3 in 4 Class 3 kids can't read grade-2 text',76.6% cannot,Derived from ASER 2024,Derived,2,VERIFIED w/ CAVEAT,76.6% is the inverse of the 23.4% GOVERNMENT-SCHOOL figure. As an all-children claim it overstates: all-India inverse is ~73%. Rhetorically close but technically tied to the govt-school number.,SOFTEN or SPECIFY govt-school
ED4,II. Education,ASER 2024 = biggest improvement in 20-year history; govt-school led; NEP/FLN driven,caveat (pro-govt),ASER 2024 / NIPUN Bharat,Independent survey,1,VERIFIED,"Confirmed in primary PDF: reading & arithmetic at highest levels since survey inception, driven by govt schools; >80% schools got FLN directive. Honest positive caveat stands.",No
ED5,II. Education,NAS (govt survey) statistically unreliable even for state comparisons,caveat,"Johnson & Parrado (2021), PMC8246517",Peer-reviewed,1,VERIFIED,Peer-reviewed; confirmed in earlier fetch. Solid.,No
ED6,II. Skills,80% of Indian engineering grads unemployable,80%,Aspiring Minds National Employability Report,Private assessment firm,2,NOT INDEPENDENT,"Aspiring Minds is a commercial testing firm; figure widely cited but has commercial incentive and methodology is proprietary. Use as 'per Aspiring Minds', pair with India Skills Report for balance.",ATTRIBUTE; don't state as fact
ED7,II. Skills,83% of 2024 eng grads without job/internship; 71.5% rated job-ready,83% / 71.5%,Unstop Talent Report 2025 / India Skills Report 2025,Private surveys,2,NOT RE-VERIFIED,Both are private industry surveys (Unstop; Wheebox/AICTE consortium). Credible-ish but not academic. The 83%-vs-71.5% juxtaposition is the strongest single 'credential vs capability' data point; attribute clearly.,ATTRIBUTE
ED8,II. Skills,<7% of male grads got a permanent salaried job within a year (2023),<7%,"State of Working India 2026, Azim Premji University",Academic (independent),1,NOT RE-VERIFIED TO REPORT,Azim Premji Univ / CSE is a strong independent academic source. Figure reported via UPSC-prep secondary; trace to the SWI 2026 report PDF to confirm exact wording/year.,TRACE TO PRIMARY
T1,III. Talent,62% of top-100 JEE scorers migrate; 36% of top-1000; 9/10 of top-10,62% / 36% / 9-of-10,"Ganguli et al., J. of Development Economics / NBER",Peer-reviewed,1,VERIFIED (from abstract),"Confirmed against ScienceDirect abstract in prior research. Strongest single source in the whole essay. Peer-reviewed, methodology public.",No
T2,III. Talent,~1/3 of new MBBS physicians emigrate annually,~1/3,MEA Lok Sabha replies / Deccan Herald 'Stop the Talent Drain',Govt reply + journalism,2,NOT RE-VERIFIED,"The migration estimate is an 'estimate' per the op-ed, not a hard govt count. Soften to '~one-third (estimated)'.",SOFTEN
T3,III. Talent,"India = 3.12M highly-educated migrants in OECD, largest of any country",3.12M,OECD International Migration Database,Independent (primary),1,NOT RE-VERIFIED TO OECD,OECD IMD is authoritative and downloadable; figure cited via Deccan Herald summarising OECD. Trace to OECD table to confirm the 3.12M vs China 2.25M comparison and year (2015/16 vintage).,TRACE TO PRIMARY
T4,III. Talent,Student outflow 7.5 lakh (2022) -> 13.3 lakh (2024),7.5L -> 13.3L,"MEA reply, Lok Sabha Q.894",Govt reply (primary),1,VERIFIED (attributed),Attributed to EAM's Lok Sabha reply; strong provenance. Cross-confirmed by Deccan Herald and World Bank blog.,No
W1,III. Wealth,"~5,100 millionaires left 2023; ~3,500 projected 2025; ~$26B","5,100 / 3,500 / $26B",Henley Private Wealth Migration Report,Proprietary (Henley & Partners),2,PROPRIETARY - CANNOT FULLY AUDIT,Henley report is paywalled/proprietary; headline figures are widely quoted but methodology (uses LinkedIn + wealth intel) is contested. Numbers vary by outlet. Present as 'per Henley' and note falling trend + rising UHNW base (Knight Frank) for balance.,ATTRIBUTE; keep both-sides caveat
AI1,IV. AI,"Stanford 2025 AI Vibrancy: US 78.6, China 36.95, India 21.59",78.6 / 36.95 / 21.59,Stanford Global AI Vibrancy Tool 2025,Independent academic,1,NOT RE-VERIFIED TO TOOL,Stanford HAI AI Index is authoritative; specific scores cited via Business Today. Trace to the Vibrancy Tool to confirm exact scores (they update). India ranking '3rd' is corroborated multiple places.,TRACE TO PRIMARY
AI2,IV. AI,India = #1 origin of immigrant US-unicorn founders: 96 companies,96,"NFAP 2026 (Stuart Anderson), 'Immigrants & US Billion-Dollar Companies'",Independent think-tank,1,VERIFIED (multi-source),"NFAP report widely reported June 2026; 96 (India) > Israel 60 > UK 47 > China 41 consistent across Business Standard, Telangana Today, India Weekly. Solid.",No
AI3,IV. AI,60% of top US AI firms have >=1 immigrant founder; India leads with 9 founders; 70%+ arrived on student visas,60% / 9 / 70%,"Institute for Progress (Forbes AI 50, 2025); CSET/Georgetown",Independent think-tank + academic,1,VERIFIED,"IFP analysis of Forbes AI 50 explicitly states India leads with 9 founders, China 8; 70%+ student-visa origin from CSET 2020. Confirmed in prior fetch.",No
AI4,IV. AI,India per-capita unicorn productivity low (~2.5 per 100k vs Israel 43),2.5 vs 43,Stanford VC Initiative (Strebulaev),Academic,1,VERIFIED (attributed),Honest counter-caveat; attributed to Stanford VC Initiative via Crunchbase. Keeps the section fair.,No
AI5,IV. AI,"IndiaAI compute ~38,000 GPUs mid-2025; target 100k by end-2026; near-zero before 2024","38,000 GPUs",IndiaAI Mission figures (state media) / WION,Govt/state-media,2,NOT RE-VERIFIED,GPU counts sourced to state media and secondary; numbers shift with each tender. Directionally right (near-zero->tens of thousands). Attribute to IndiaAI Mission.,ATTRIBUTE
R1,V. R&D,GERD stuck ~0.64% of GDP; fell from ~0.90% in 2008,0.64% (from 0.90%),Economic Survey 2025-26,Govt primary,1,VERIFIED (multi-source),"0.64% confirmed across Economic Survey coverage (Forbes India, Business Today, Asia Times). Decline from ~0.90% (2008) per SabrangIndia/arXiv 2411.15045. Strong.",No
R2,V. R&D,Private sector = ~36% of R&D vs 75-79% in US/China/Korea,36% vs 75-79%,Economic Survey 2025-26,Govt primary,1,VERIFIED,Confirmed multiple outlets citing the Survey. Solid.,No
R3,V. R&D,"262 researchers/million (India) vs 8,714 (S.Korea); ~40k PhDs/yr; ~85k researchers abroad","262 vs 8,714",Asia Times 'India's R&D crisis isn't a money problem',Journalism citing UNESCO-type data,2,NOT RE-VERIFIED TO PRIMARY,Researcher-density figures ultimately derive from UNESCO/World Bank; cited here via Asia Times. Trace to UNESCO UIS for terminal citation. Directionally uncontroversial.,TRACE TO PRIMARY (UNESCO)
R4,V. R&D,CEA cited Lazonick: Indian corporates did buybacks/dividends before building R&D depth ('premature financialisation'),framing,CEA / Economic Survey citing Lazonick (HBR),Govt citing academic,1,VERIFIED (attributed),Attributed analytical framing; confirmed via Plutus IAS coverage of the CEA's remarks. Fair.,No
R5,V. R&D,RDI fund: only ~15% of prior-year allocation utilised,~15%,Budget 2026-27 coverage / Plutus IAS,Budget doc + secondary,2,NOT RE-VERIFIED TO BUDGET,"Utilisation figure (Rs 3,000cr of Rs 20,000cr) reported via Plutus IAS citing Budget 2026-27. Trace to the budget document / PIB. Strong 'punctures the press release' point if confirmed.",TRACE TO PRIMARY (Budget/PIB)
A1,VI. Accountability,"Electoral bonds struck down as unconstitutional, 15 Feb 2024, unanimous 5-judge bench (Art 19(1)(a))",unconstitutional,"ADR v. Union of India, Supreme Court, 15 Feb 2024",Court judgment (primary),1,VERIFIED,"Judgment is public and widely confirmed (Stimson, ISAS, Time, Tribune, Nature). Unimpeachable.",No
A2,VI. Accountability,Bonds were ~56% of all political funding at peak,56%,Stimson Center,Think-tank analysis,2,SECONDARY,56% figure is Stimson's characterisation. Reasonable but attribute; not a court finding.,ATTRIBUTE
A3,VI. Accountability,"BJP got ~48% of all bond donations; ~90% of CORPORATE bond donations; scheme ~Rs 16,518 cr encashed","48% / ~90% / Rs16,518cr",ECI-disclosed data + ADR analysis,Court-ordered data + ADR computation,1,VERIFIED w/ NUANCE,"48% (Rs 6,566cr of Rs 13,558cr across 20 parties) = ECI data via Tribune. Rs 16,518cr total encashed = Deccan Herald/SC. The '~90% of CORPORATE donations' is an ADR *analysis* (Time cites 'as of last November'), a narrower subset - keep the word CORPORATE, attribute to ADR.",KEEP 'corporate'; attribute 90% to ADR
A4,VI. Accountability,Court warned scheme could enable 'quid pro quo',quid pro quo,"SC judgment, 15 Feb 2024",Court (primary),1,VERIFIED,Direct from the judgment; confirmed The National / Nature coverage.,No
A5,VI. Accountability,ED registered 193 cases against politicians in 10 yrs; only 2 convictions,193 / 2,"Ministry of Finance, Rajya Sabha reply, March 2025",Govt reply (primary),1,VERIFIED,Confirmed verbatim in Outlook's report of the MoF Parliament reply. Both convictions were Jharkhand ex-ministers. Self-documenting govt data.,No
A6,VI. Accountability,<5% PMLA conviction rate since 2019 (42 of 911),<5% (42/911),Govt reply to Randeep Surjewala; The Wire,Govt reply (primary) via journalism,1,VERIFIED (attributed),"42 of 911 (4.6%) Jan 2019-Oct 2024, MoS Finance reply. Strong.",No
A7,VI. Accountability,~95% of ED/CBI cases target opposition (up from ~54% pre-2014),95%,Indian Express investigation (2022) + 14-party SC plea + opposition claims,Journalism + litigant claim,2,*** NOT GOVT DATA - CORRECTION ***,"MoF explicitly told Parliament it does NOT track cases by party/ruling-vs-opposition (confirmed in Outlook primary fetch). The 95% is from the Indian Express investigation and opposition leaders (Bora/Sule), NOT a govt admission. Pieces imply it's govt-sourced alongside the 193/2. MUST separate provenance.","SEPARATE: attribute 95% to Indian Express/opposition, NOT govt"
A8,VI. Accountability,V-Dem reclassified India 'electoral autocracy' (by 2020); ~20% fall in judicial autonomy 2014-24,electoral autocracy,V-Dem Democracy Report 2025,Independent academic index,1,VERIFIED (institutional),V-Dem classification widely confirmed. The specific '20% judicial autonomy decline' cited via secondary (indianrepublic.in) - trace to V-Dem dataset for the exact figure.,TRACE 20% FIGURE
A9,VI. Accountability,"Freedom House: 'Free'->'Partly Free' (2021), score 66/100",Free->Partly Free,"Freedom House, Freedom in the World",Independent index,1,VERIFIED,Widely confirmed; score 66 stable since 2021.,No
A10,VI. Accountability,RSF press-freedom rank 150 -> 161,150->161,RSF World Press Freedom Index,Independent index,1,VERIFIED (attributed),"Rank figures confirmed via multiple secondary; RSF publishes annually - note the exact years (150 was ~2020-22 era, 161 more recent). Confirm current-year rank before publishing.",CONFIRM CURRENT RANK
A11,VI. Accountability,"Emergency (1975-77) was a more severe, formal suspension of liberties; sedition abused across govts",caveat,Historical record / Journal of Democracy,Consensus history,1,VERIFIED (consensus),Honest historical caveat you specifically requested. Uncontroversial.,No
A12,VI. Accountability,Legal right to dissent survives on paper; practical dissent free of harassment largely gone,framing,"Journal of Democracy, 'Why India's Democracy Is Dying' (2024)",Peer-reviewed journal,1,VERIFIED,Direct paraphrase of the JoD article's thesis. Strong scholarly framing.,No
G1,Genuine,UPI world-leading real-time payment volume,world-leading,NPCI data,Operator data (primary),1,NOT RE-VERIFIED,UPI's global-leading real-time volume is well-established (NPCI/BIS). Trace to NPCI monthly stats for a specific number if quantifying.,TRACE if quantified
G2,Genuine,BHASHINI: hundreds of millions of inferences/month across 22 languages,100Ms/month,BHASHINI / Medium (Koul),Govt platform + secondary,2,NOT RE-VERIFIED,Inference-volume figure cited via a Medium essay; trace to an official BHASHINI/MeitY source before quantifying. Existence & multilingual scope are solid.,TRACE TO PRIMARY
G3,Genuine,India = 3rd-largest producer of scholarly publications (up from 7th in 2010),3rd,Economic Survey / Nature Index,Govt + independent,1,VERIFIED (multi-source),Confirmed across Economic Survey coverage and Deccan Herald. Solid - and the honest R&D caveat prevents overselling it.,No
